Fuel Type Code,Station Name,Street Address,City,State,ZIP,Plus4,Country,Geocode Status,Latitude,Longitude,Open Date,Date Last Confirmed,ID,Updated At,Owner Type Code,Status Code,Expected Date,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,EV Connector Types,Facility Type,EV Pricing,EV On-Site Renewable Source,Restricted Access,Maximum Vehicle Class,EV Workplace Charging,Federal Funding Types,CN_idx,CN_lon,CN_lat,CN_err
ELEC,Bishop Ranch 3 North Chargers,2603 Camino Ramon,San Ramon,CA,94583,,US,GPS,37.76901,-121.96002,2022-09-30,2024-07-09,230778.0,2024-07-09 02:48:41 UTC,,E,,Public,24 hours daily,0.0,12.0,0.0,,EV Connect,http://evconnect.com/,J1772,,,,,,False,,2390272076,-121.9603368,37.7707787,198.63225145585812
ELEC,Bishop Ranch 3 South Chargers,2633 Camino Ramon,San Ramon,CA,94583,,US,GPS,37.766261,-121.958243,2022-09-30,2024-07-09,230779.0,2024-07-09 02:48:41 UTC,,E,,Public,24 hours daily,0.0,16.0,0.0,,EV Connect,http://evconnect.com/,J1772,,,,,,False,,57867269,-121.9584543,37.7645905,186.6776997702554
ELEC,Bishop Ranch 8,3000 Executive parkway,San Ramon,CA,94583,,US,GPS,37.768727,-121.968373,2022-09-30,2024-07-09,230780.0,2024-07-09 02:48:43 UTC,,E,,Public,24 hours daily,0.0,29.0,0.0,,EV Connect,http://evconnect.com/,J1772,,,,,,False,,2177741059,-121.969118,37.7672257,179.3218250661153
ELEC,Bishop Ranch 9,2409 Camino Ramon,San Ramon,CA,94583,,US,GPS,37.774255,-121.963797,2022-09-30,2024-07-09,230781.0,2024-07-09 02:48:44 UTC,,E,,Public,24 hours daily,0.0,10.0,0.0,,EV Connect,http://evconnect.com/,J1772,,,,,,False,,57867267,-121.9648784,37.7745578,100.83370615354865
ELEC,Bishop Ranch 15,12677 Alcosta Blvd,San Ramon,CA,94583,,US,GPS,37.775357,-121.961264,2022-09-30,2024-07-09,230782.0,2024-07-09 02:48:44 UTC,,E,,Public,24 hours daily,0.0,37.0,0.0,,EV Connect,http://evconnect.com/,J1772,,,,,,False,,2177741149,-121.9612273,37.7766565,144.5340081047465
ELEC,Hayward Mott,24411 Amador St,Hayward,CA,94544,,US,GPS,37.6567,-122.093539,2022-09-30,2024-07-09,230812.0,2024-07-09 02:49:06 UTC,,E,,Public,24 hours daily,0.0,10.0,0.0,,EV Connect,http://evconnect.com/,J1772,,,,,,False,,53077629,-122.0928816,37.6564804,62.81265954747301
ELEC,Stronebrae Elementary,28761 Hayward Blvd.,Hayward,CA,94542,,US,GPS,37.653703,-122.017592,2022-09-30,2024-07-09,230817.0,2024-07-09 02:49:08 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,EV Connect,http://evconnect.com/,J1772,,,,,,False,,1706630457,-122.0173223,37.6541674,56.83586428972766
ELEC,DGS Lot 6,1515 Clay St,Oakland,CA,94612,,US,GPS,37.806447,-122.273154,2022-09-30,2024-07-09,230880.0,2024-07-09 02:49:52 UTC,,E,,Public,24 hours daily,0.0,15.0,0.0,,EV Connect,http://evconnect.com/,J1772,,,,,,False,,53026626,-122.2727676,37.8066153,38.76328269060418
ELEC,DGS Lot 88,505 Van Ness Ave,San Francisco,CA,94102,,US,GPS,37.78066,-122.4211,2022-09-30,2024-07-09,230881.0,2024-07-09 02:49:52 UTC,,E,,Public,24 hours daily,0.0,9.0,0.0,,EV Connect,http://evconnect.com/,J1772,,,,,,False,,65308287,-122.4205848,37.781017,60.2155516152575
ELEC,HoopSphere Basketball Academy,1409 Fulton Pl,Fremont,CA,94539,,US,GPS,37.492573,-121.933489,2022-09-30,2024-07-09,230890.0,2024-07-09 02:49:58 UTC,,E,,Public,24 hours daily,0.0,1.0,0.0,,EV Connect,http://evconnect.com/,J1772,,,,,,False,,1710316052,-121.9331527,37.4921888,52.01374294184587
ELEC,Graham Middle School,1175 Castro St,Mountain View,CA,94040,,US,GPS,37.381173,-122.08481,2022-09-30,2024-07-09,230991.0,2024-07-09 02:50:53 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,EV Connect,http://evconnect.com/,J1772,,,,,,False,,65450830,-122.0842215,37.3798667,154.28099360546054
ELEC,Imai Elementary,253 Martens Ave,Mountain View,CA,94040,,US,GPS,37.374313,-122.075145,2022-09-30,2024-07-09,230992.0,2024-07-09 02:50:53 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,EV Connect,http://evconnect.com/,J1772,,,,,,False,,262658759,-122.074787,37.3733247,114.35683246663552
ELEC,Mistral Elementary,505 Escuela Ave.,Mountain View,CA,94041,,US,GPS,37.395283,-122.094086,2022-09-30,2024-07-09,230993.0,2024-07-09 02:50:53 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,EV Connect,http://evconnect.com/,J1772,,,,,,False,,65505134,-122.0947434,37.3957282,76.31085417249419
ELEC,Vargas Elementary,220 N. Whisman Rd.,Mountain View,CA,94043,,US,GPS,37.392987,-122.061715,2022-09-30,2024-07-09,230994.0,2024-07-09 02:50:53 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,EV Connect,http://evconnect.com/,J1772,,,,,,False,,157232237,-122.0612528,37.392708,51.28091822418837
ELEC,Bubb Elementary,525 Hans Ave,Mountain View,CA,94040,,US,GPS,37.378234,-122.081814,2022-09-30,2024-07-09,230995.0,2024-07-09 02:50:53 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,EV Connect,http://evconnect.com/,J1772,,,,,,False,,65487877,-122.0819445,37.3791795,105.76540947808635
ELEC,Castro Elementary,500 Toft St,Mountain View,CA,94041,,US,GPS,37.394025,-122.092044,2022-09-30,2024-07-09,231017.0,2024-07-09 02:51:00 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,EV Connect,http://evconnect.com/,J1772,,,,,,False,,65519253,-122.0917259,37.3941575,31.72964388896076
ELEC,Belvedere Tiburon Library,1501 Tiburon Blvd.,Belvedere,CA,94920,,US,GPS,37.877349,-122.461164,2022-09-30,2024-07-09,231055.0,2024-07-09 02:51:15 UTC,,E,,Public,24 hours daily,0.0,3.0,0.0,,EV Connect,http://evconnect.com/,J1772,,,,,,False,,110447766,-122.4613246,37.8776474,36.0505517616967
ELEC,LA VICS HAYWARD STATION 1,27915 Mission Blvd,Hayward,CA,94544,,US,GPS,37.639808,-122.058376,2022-10-01,2024-07-09,231087.0,2024-07-09 01:37:13 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,53104622,-122.0580567,37.640045,38.53486594589625
ELEC,REI Fremont,43962 Fremont Blvd,Fremont,CA,94538,,US,GPS,37.510733,-121.948142,2022-10-01,2024-07-08,231114.0,2024-07-08 23:59:35 UTC,,E,,Public,24 hours daily,0.0,0.0,6.0,,eVgo Network,https://www.evgo.com/,J1772COMBO,,,,,,False,,2420501582,-121.9483105,37.5110725,40.57102895058859
ELEC,CITY OF DUBLIN FSP RIGHT,2605 Central Pkwy Lower parking lot at Fallon,Dublin,CA,94568,,US,GPS,37.710958,-121.853807,2022-10-03,2024-07-09,231149.0,2024-07-09 00:54:12 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,1588611241,-121.8520217,37.7105063,164.88446330338417
ELEC,PF CA MV Wheatley Whisman,301 N Whisman Rd,Mountain View,CA,94043,,US,200-9,37.397528,-122.05892,2022-06-23,2023-08-10,232931.0,2024-01-31 22:07:01 UTC,P,E,,Public,24 hours,0.0,20.0,0.0,,POWERFLEX,https://www.powerflex.com,J1772,OFFICE_BLDG,,,False,LD,False,,193200416,-122.0595606,37.3972941,62.28000363321337
ELEC,SALESFORCE 350 MISSION,350 Mission St,San Francisco,CA,94105,,US,GPS,37.790885,-122.396686,2022-10-08,2024-07-09,233112.0,2024-07-09 00:38:33 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,65363153,-122.3967026,37.7904732,45.813363352736026
ELEC,"BOA CA3-107 (Milpitas, CA)",740 E Calaveras Blvd,Milpitas,CA,95035,,US,GPS,37.43313,-121.89388,2022-10-08,2024-07-09,233172.0,2024-07-09 02:38:05 UTC,,E,,Public,24 hours daily,0.0,0.0,4.0,,Electrify America,https://www.electrifyamerica.com/,CHADEMO J1772COMBO,,,,,,False,,65437711,-121.8933787,37.4335174,61.764122627620544
ELEC,CHARGEPOINT 254-32-AC-CT4KM,254 E Hacienda Ave,Campbell,CA,95008,,US,GPS,37.267058,-121.956393,2022-10-11,2024-07-09,233231.0,2024-07-09 00:35:55 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,65613603,-121.9570661,37.2654181,191.83063323620263
ELEC,Southern Crossing Owners Association c/o Crown Management,855 Bordeaux Way,Napa,CA,94558,,US,GPS,38.2497813,-122.2716132,2022-07-06,2024-07-09,233278.0,2024-07-09 00:06:44 UTC,,E,,Public,24 hours daily,0.0,11.0,0.0,,Blink Network,http://www.blinkcharging.com/,J1772,,$0.25/kWh Energy Fee,,,,False,,1367622108,-122.2724641,38.2498571,74.78016822107989
ELEC,THE SHORE THE SHORE 12,800 Sierra Point Parkway,Brisbane,CA,94005,,US,GPS,37.673516,-122.382507,2022-10-12,2024-07-09,233285.0,2024-07-09 01:21:36 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,522089307,-122.3820544,37.6738775,56.59102455687674
ELEC,303 SECOND ST. KILROY REALTY 1,303 2nd St,San Francisco,CA,94107,,US,GPS,37.784839,-122.39538,2022-10-14,2024-07-09,233401.0,2024-07-09 00:31:40 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,65317045,-122.395178,37.7843129,61.13380103670901
ELEC,303 SECOND ST. KILROY REALTY 2,303 2nd St,San Francisco,CA,94107,,US,GPS,37.784843,-122.395214,2022-10-14,2024-07-09,233402.0,2024-07-09 00:31:40 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,5826304536,-122.3946383,37.784741,51.84793800332243
